Age;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
10;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29441;27350;24216;21107;17419;14120;11387;8848;6004;3372;1439
11;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29441;27350;24216;21107;17419;14120;11387;8848;6004;3372;1439
12;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29441;27350;24216;21107;17419;14120;11387;8848;6004;3372;1439
13;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29441;27350;24216;21107;17419;14120;11387;8848;6004;3372;1439
14;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29441;27350;24216;21107;17419;14120;11387;8848;6004;3372;1439
15;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29441;27350;24216;21107;17419;14120;11387;8848;6004;3372;1439
16;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29441;27350;24216;21107;17419;14120;11387;8848;6004;3372;1439
17;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29441;27350;24216;21107;17419;14120;11387;8848;6004;3372;1439
18;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29441;27350;24216;21107;17419;14120;11387;8848;6004;3372;1439
19;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29441;27350;24216;21107;17419;14120;11387;8848;6004;3372;1439
20;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29440;27350;24216;21107;17419;14120;11385;8848;6004;3372;1438
21;2;1;2;6;2;9;9;10;23;36;52;50;65;95;108;139;145;151;181;208;276;262;352;391;406;433;464;521;506;556;639;680;496;427;492;608;619;1180;1364;1349;1536;1691;1909;2020;2223;2368;2621;2775;2874;2979;3032;3213;3347;3752;4038;4557;4985;5590;6279;8041;9645;10361;11464;16089;18958;19647;20854;20605;20461;21057;20752;21476;21546;21721;22620;22815;24537;24793;25931;25747;27495;28527;29070;29029;29224;29124;30401;31614;33757;34578;34201;32283;31205;31425;32814;32820;33187;34899;34535;34853;33439;33780;34351;34130;33206;32322;29440;27350;24216;21105;17418;14120;11384;8848;6002;3372;1437
